element_sig_pattern,tag_name,vr,private_disposition
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",15)[<1>](0023,""Unnamed Private Block - 20"",19)",Unknown:Unknown:Unknown,IS,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",15)[<1>](0023,""Unnamed Private Block - 20"",19)",Unknown:Unknown:Unknown,UN,d
"(0009,EMAGEON JPEG2K INFO"",01)",Unknown,DT,d
"(0009,EMAGEON JPEG2K INFO"",01)",Unknown,UN,d
"(0009,EMAGEON STUDY HOME"",00)",Unknown,LO,d
"(0009,EMAGEON STUDY HOME"",00)",Unknown,UN,d
"(0009,EMAGEON STUDY HOME"",01)",Unknown,LO,d
"(0009,EMAGEON STUDY HOME"",01)",Unknown,UN,d
"(0009,eMed Compression Tags"",10)",Unknown,UN,d
"(0009,eMed Compression Tags"",11)",Unknown,UN,d
"(0009,FDMS 1.0"",04)",Image Control Unit,OB,d
"(0009,FDMS 1.0"",04)",Image Control Unit,SH,d
"(0009,FDMS 1.0"",05)",Image UID,OB,h
"(0009,FDMS 1.0"",05)",Image UID,OW,h
"(0009,FDMS 1.0"",05)",Image UID,UN,h
"(0009,FDMS 1.0"",06)",Route Image UID,OB,h
"(0009,FDMS 1.0"",06)",Route Image UID,OW,h
"(0009,FDMS 1.0"",06)",Route Image UID,UN,h
"(0009,FDMS 1.0"",08)",Image Display Information Version Number,OB,k
"(0009,FDMS 1.0"",08)",Image Display Information Version Number,UL,k
"(0009,FDMS 1.0"",08)",Image Display Information Version Number,UN,k
"(0009,FDMS 1.0"",09)",Patient Information Version Number,OB,k
"(0009,FDMS 1.0"",09)",Patient Information Version Number,UL,k
"(0009,FDMS 1.0"",09)",Patient Information Version Number,UN,k
"(0009,FDMS 1.0"",0c)",Film UID,OB,h
"(0009,FDMS 1.0"",0c)",Film UID,OW,h
"(0009,FDMS 1.0"",0c)",Film UID,UN,h
"(0009,FDMS 1.0"",10)",Exposure Unit Type Code,CS,k
"(0009,FDMS 1.0"",10)",Exposure Unit Type Code,OB,k
"(0009,FDMS 1.0"",10)",Exposure Unit Type Code,UN,k
"(0009,FDMS 1.0"",80)",Kanji Hospital Name,LO,d
"(0009,FDMS 1.0"",80)",Kanji Hospital Name,OB,d
"(0009,FDMS 1.0"",80)",Kanji Hospital Name,UN,d
"(0009,FDMS 1.0"",90)",Distribution Code,OB,k
"(0009,FDMS 1.0"",90)",Distribution Code,ST,k
"(0009,FDMS 1.0"",90)",Distribution Code,UN,k
"(0009,FDMS 1.0"",92)",Kanji Department Name,OB,k
"(0009,FDMS 1.0"",92)",Kanji Department Name,SH,k
"(0009,FDMS 1.0"",f0)",Blackening Process Flag,CS,k
"(0009,FDMS 1.0"",f0)",Blackening Process Flag,OB,k
"(0009,FDMS 1.0"",f0)",Blackening Process Flag,UN,k
"(0009,FDMS 1.0"",f1)",Processing Information Flag,LO,k
"(0009,FDMS 1.0"",f1)",Processing Information Flag,OB,k
"(0009,FDMS 1.0"",f1)",Processing Information Flag,UN,k
"(0009,FDMS 1.0"",f2)",Unknown,CS,d
"(0009,FDMS 1.0"",f2)",Unknown,UN,d
"(0009,FDMS 1.0"",f3)",Unknown,CS,d
"(0009,FDMS 1.0"",f3)",Unknown,UN,d
"(0009,FDMS 1.0"",f4)",Unknown,CS,d
"(0009,FDMS 1.0"",f4)",Unknown,UN,d
"(0009,GEIIS"",05)",Unknown,UN,d
"(0009,GEIIS"",0d)",Unknown,UN,d
"(0009,GEIIS"",0e)",Unknown,UN,d
"(0009,GEIIS"",10)",GE Private Image Thumbnail Sequence,,d
"(0009,GEIIS"",10)",GE Private Image Thumbnail Sequence,OB,d
"(0009,GEIIS"",10)",GE Private Image Thumbnail Sequence,SQ,d
"(0009,GEIIS"",10)",GE Private Image Thumbnail Sequence,UN,d
"(0009,GEIIS"",10)[<0>](0028,0002)",GE Private Image Thumbnail Sequence:Samples per Pixel,US,na
"(0009,GEIIS"",10)[<0>](0028,0004)",GE Private Image Thumbnail Sequence:Photometric Interpretation,CS,na
"(0009,GEIIS"",10)[<0>](0028,0006)",GE Private Image Thumbnail Sequence:Planar Configuration,US,k
"(0009,GEIIS"",10)[<0>](0028,0008)",GE Private Image Thumbnail Sequence:Number of Frames,IS,k
"(0009,GEIIS"",10)[<0>](0028,0010)",GE Private Image Thumbnail Sequence:Rows,US,na
"(0009,GEIIS"",10)[<0>](0028,0011)",GE Private Image Thumbnail Sequence:Columns,US,na
"(0009,GEIIS"",10)[<0>](0028,0100)",GE Private Image Thumbnail Sequence:Bits Allocated,US,na
"(0009,GEIIS"",10)[<0>](0028,0101)",GE Private Image Thumbnail Sequence:Bits Stored,US,na
"(0009,GEIIS"",10)[<0>](0028,0102)",GE Private Image Thumbnail Sequence:High Bit,US,na
"(0009,GEIIS"",10)[<0>](0028,0103)",GE Private Image Thumbnail Sequence:Pixel Representation,US,na
"(0009,GEIIS"",10)[<0>](0028,0107)",GE Private Image Thumbnail Sequence:Largest Image Pixel Value,SS,k
"(0009,GEIIS"",10)[<0>](0028,0107)",GE Private Image Thumbnail Sequence:Largest Image Pixel Value,US,na
"(0009,GEIIS"",10)[<0>](0028,0120)",GE Private Image Thumbnail Sequence:Pixel Padding Value,SS,k
"(0009,GEIIS"",10)[<0>](0028,0120)",GE Private Image Thumbnail Sequence:Pixel Padding Value,US,k
"(0009,GEIIS"",10)[<0>](0028,1050)",GE Private Image Thumbnail Sequence:Window Center,DS,na
"(0009,GEIIS"",10)[<0>](0028,1051)",GE Private Image Thumbnail Sequence:Window Width,DS,na
"(0009,GEIIS"",10)[<0>](0028,1052)",GE Private Image Thumbnail Sequence:Rescale Intercept,DS,na
"(0009,GEIIS"",10)[<0>](0028,1053)",GE Private Image Thumbnail Sequence:Rescale Slope,DS,na
"(0009,GEIIS"",10)[<0>](0029,""GEIIS"",10)",GE Private Image Thumbnail Sequence:Shift Count,UL,na
"(0009,GEIIS"",10)[<0>](0029,""GEIIS"",12)",GE Private Image Thumbnail Sequence:Offset,UL,na
"(0009,GEIIS"",10)[<0>](0029,""GEIIS"",14)",GE Private Image Thumbnail Sequence:Actual Frame Number,UL,na
"(0009,GEIIS"",10)[<0>](0029,""SIEMENS MEDCOM HEADER"",31)",GE Private Image Thumbnail Sequence:PMTF Information 1,LO,k
"(0009,GEIIS"",10)[<0>](0029,""SIEMENS MEDCOM HEADER"",35)",GE Private Image Thumbnail Sequence:PMTF Information 5,UL,d
"(0009,GEIIS"",10)[<0>](7fd1,""GEIIS"",10)",GE Private Image Thumbnail Sequence:GE IIS Compression Type,UL,na
"(0009,GEIIS"",10)[<0>](7fe0,0010)",GE Private Image Thumbnail Sequence:Pixel Data,OB,na
"(0009,GEIIS"",10)[<0>](7fe0,0010)",GE Private Image Thumbnail Sequence:Pixel Data,OW,na
"(0009,GEIIS"",12)",Unknown,IS,d
"(0009,GEIIS"",39)",Unknown,UN,d
"(0009,GEIIS"",3b)",Unknown,UN,d
"(0009,GEIIS"",3d)",Unknown,UN,d
"(0009,GEIIS"",68)",Unknown,UN,d
"(0009,GEIIS"",6c)",Unknown,UN,d
"(0009,GEMS_GENIE_1"",01)",Unknown,SH,d
"(0009,GEMS_GENIE_1"",10)",Study Name,LO,d
"(0009,GEMS_GENIE_1"",11)",Study Flags,SL,d
"(0009,GEMS_GENIE_1"",12)",Study Type,SL,d
"(0009,GEMS_GENIE_1"",1e)",Dataset UID,UI,d
"(0009,GEMS_GENIE_1"",20)",Series Object Name,LO,d
"(0009,GEMS_GENIE_1"",21)",Series Flags,SL,d
"(0009,GEMS_GENIE_1"",22)",User Orientation,SH,k
"(0009,GEMS_GENIE_1"",23)",Initiation Type,SL,k
"(0009,GEMS_GENIE_1"",24)",Initiation Delay,SL,k
"(0009,GEMS_GENIE_1"",25)",Initiation Count Rate,SL,k
"(0009,GEMS_GENIE_1"",26)",Number Energy Sets,SL,k
"(0009,GEMS_GENIE_1"",27)",Number Detectors,SL,k
"(0009,GEMS_GENIE_1"",28)",Number RR Windows,SL,k
"(0009,GEMS_GENIE_1"",29)",Number MG Time Slots,SL,d
"(0009,GEMS_GENIE_1"",2a)",Number View Sets,SL,d
"(0009,GEMS_GENIE_1"",2b)",Trigger History UID,LO,h
"(0009,GEMS_GENIE_1"",2c)",Series Comments,LO,d
"(0009,GEMS_GENIE_1"",2d)",Track Beat Average,SL,k
"(0009,GEMS_GENIE_1"",2e)",Distance Prescribed,FD,k
"(0009,GEMS_GENIE_1"",2f)",Table Direction,SL,k
"(0009,GEMS_GENIE_1"",33)",Rotational Continuous Speed,FD,k
"(0009,GEMS_GENIE_1"",35)",Gantry Locus Type,SL,k
"(0009,GEMS_GENIE_1"",37)",Starting Heart Rate,SL,k
"(0009,GEMS_GENIE_1"",3a)",Percent Cycle Imaged,SL,k
"(0009,GEMS_GENIE_1"",40)",Patient Object Name,PN,d
"(0009,GEMS_GENIE_1"",41)",Patient Flags,SL,d
"(0009,GEMS_GENIE_1"",42)",Patient Creation Date,DA,d
"(0009,GEMS_GENIE_1"",43)",Patient Creation Time,TM,d
"(0009,GEMS_GENIE_1"",45)",Unknown,LT,d
"(0009,GEMS_GENIE_1"",46)",Unknown,UI,d
"(0009,GEMS_GENIE_1"",46)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",01)",Full Fidelity,LO,k
"(0009,GEMS_IDEN_01"",01)",Full Fidelity,OB,k
"(0009,GEMS_IDEN_01"",02)",Suite Id,LO,d
"(0009,GEMS_IDEN_01"",02)",Suite Id,OB,d
"(0009,GEMS_IDEN_01"",02)",Suite Id,SH,d
"(0009,GEMS_IDEN_01"",02)",Suite Id,UN,d
"(0009,GEMS_IDEN_01"",04)",Product Id,LO,k
"(0009,GEMS_IDEN_01"",04)",Product Id,OB,k
"(0009,GEMS_IDEN_01"",04)",Product Id,SH,k
"(0009,GEMS_IDEN_01"",04)",Product Id,UN,k
"(0009,GEMS_IDEN_01"",05)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",0d)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",0e)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",27)",Image Actual Date,OB,oi
"(0009,GEMS_IDEN_01"",27)",Image Actual Date,SL,oi
"(0009,GEMS_IDEN_01"",27)",Image Actual Date,UN,oi
"(0009,GEMS_IDEN_01"",30)",Service Id,OB,d
"(0009,GEMS_IDEN_01"",30)",Service Id,SH,d
"(0009,GEMS_IDEN_01"",30)",Service Id,UN,d
"(0009,GEMS_IDEN_01"",31)",Mobile Location Number,SH,d
"(0009,GEMS_IDEN_01"",31)",Mobile Location Number,UN,d
"(0009,GEMS_IDEN_01"",37)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",39)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",3b)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",3d)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",40)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",5f)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",67)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",68)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",6c)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",7b)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",e3)",Equipment UID,LO,h
"(0009,GEMS_IDEN_01"",e3)",Equipment UID,OB,h
"(0009,GEMS_IDEN_01"",e3)",Equipment UID,UI,h
"(0009,GEMS_IDEN_01"",e3)",Equipment UID,UN,h
"(0009,GEMS_IDEN_01"",e4)",Unknown,UN,d
"(0009,GEMS_IDEN_01"",e6)",Genesis Version Now,OB,k
"(0009,GEMS_IDEN_01"",e6)",Genesis Version Now,SH,k
"(0009,GEMS_IDEN_01"",e7)",Exam Record Checksum,UL,d
"(0009,GEMS_IDEN_01"",e7)",Exam Record Checksum,UN,d
"(0009,GEMS_IDEN_01"",e8)",Series Suite ID,UL,d
"(0009,GEMS_IDEN_01"",e9)",Actual Series Data Time Stamp,LO,oi
"(0009,GEMS_IDEN_01"",e9)",Actual Series Data Time Stamp,SL,oi
"(0009,GEMS_IDEN_01"",e9)",Actual Series Data Time Stamp,UN,oi
"(0009,GEMS_PETD_01"",01)",Implementation Version Name,LO,k
"(0009,GEMS_PETD_01"",02)",Patient ID,LO,d
"(0009,GEMS_PETD_01"",03)",Patient Compatible Version,SH,k
"(0009,GEMS_PETD_01"",04)",Patient Software Version,SH,k
"(0009,GEMS_PETD_01"",05)",Patient DateTime,DT,o
"(0009,GEMS_PETD_01"",05)",Patient DateTime,LO,o
"(0009,GEMS_PETD_01"",05)",Patient DateTime,SH,o
"(0009,GEMS_PETD_01"",06)",Patient Type,SL,d
"(0009,GEMS_PETD_01"",07)",Exam ID,LO,h
"(0009,GEMS_PETD_01"",07)",Exam ID,UI,h
"(0009,GEMS_PETD_01"",08)",Exam Compatible Version,SH,k
"(0009,GEMS_PETD_01"",09)",Exam Software Version,SH,k
"(0009,GEMS_PETD_01"",0a)",Scan ID,LO,h
"(0009,GEMS_PETD_01"",0a)",Scan ID,UI,h
"(0009,GEMS_PETD_01"",0b)",Scan Compatible Version,SH,k
"(0009,GEMS_PETD_01"",0c)",Scan Software Version,SH,k
"(0009,GEMS_PETD_01"",0d)",Scan Date Time,DT,o
"(0009,GEMS_PETD_01"",0d)",Scan Date Time,LO,o
"(0009,GEMS_PETD_01"",0d)",Scan Date Time,SH,o
"(0009,GEMS_PETD_01"",0e)",Scan Ready,DT,o
"(0009,GEMS_PETD_01"",0e)",Scan Ready,LO,o
"(0009,GEMS_PETD_01"",0e)",Scan Ready,SH,o
"(0009,GEMS_PETD_01"",0f)",Scan Description,ST,d
"(0009,GEMS_PETD_01"",10)",Hospital Name,LO,d
"(0009,GEMS_PETD_01"",11)",Scanner Description,LO,k
"(0009,GEMS_PETD_01"",12)",Manufacturer,LO,k
"(0009,GEMS_PETD_01"",13)",FOR Identifier,LO,h
"(0009,GEMS_PETD_01"",13)",FOR Identifier,UI,h
"(0009,GEMS_PETD_01"",14)",Landmark Name,LO,k
"(0009,GEMS_PETD_01"",14)",Landmark Name,UN,k
"(0009,GEMS_PETD_01"",15)",Landmark Abbrev,SH,k
"(0009,GEMS_PETD_01"",16)",Patient Position,SL,k
"(0009,GEMS_PETD_01"",17)",Scan Perspective,SL,k
"(0009,GEMS_PETD_01"",18)",Scan Type,SL,k
"(0009,GEMS_PETD_01"",19)",Scan Mode,SL,k
"(0009,GEMS_PETD_01"",1a)",Start Condition,SL,k
"(0009,GEMS_PETD_01"",1b)",Start Condition Data,SL,k
"(0009,GEMS_PETD_01"",1c)",Sel Stop Condition,SL,k
"(0009,GEMS_PETD_01"",1d)",Sel Stop Condition Data,SL,k
"(0009,GEMS_PETD_01"",1e)",Collect Deadtime,SL,k
"(0009,GEMS_PETD_01"",1f)",Collect Singles,SL,k
"(0009,GEMS_PETD_01"",20)",Collect Count Rate,SL,k
"(0009,GEMS_PETD_01"",21)",Count Rate Period,SL,k
"(0009,GEMS_PETD_01"",22)",Delayed Events,SL,k
"(0009,GEMS_PETD_01"",23)",Delayed Bias,SL,k
"(0009,GEMS_PETD_01"",24)",Word Size,SL,k
"(0009,GEMS_PETD_01"",25)",Axial Acceptance,SL,k
"(0009,GEMS_PETD_01"",26)",Axial Angle 3D,SL,k
"(0009,GEMS_PETD_01"",27)",Theta Compression,SL,k
"(0009,GEMS_PETD_01"",28)",Axial Compression,SL,k
"(0009,GEMS_PETD_01"",29)",Gantry Tilt Angle,FL,k
"(0009,GEMS_PETD_01"",29)",Gantry Tilt Angle,SL,k
"(0009,GEMS_PETD_01"",2a)",Collimation,SL,k
"(0009,GEMS_PETD_01"",2b)",Scan FOV,SL,k
"(0009,GEMS_PETD_01"",2c)",Axial FOV,FD,k
"(0009,GEMS_PETD_01"",2c)",Axial FOV,SL,k
"(0009,GEMS_PETD_01"",2d)",Event Separation,SL,k
"(0009,GEMS_PETD_01"",2e)",Mask Width,SL,k
"(0009,GEMS_PETD_01"",32)",Lower Reject Limit,SL,d
"(0009,GEMS_PETD_01"",33)",Upper Reject Limit,SL,d
"(0009,GEMS_PETD_01"",34)",Triggers Acquired,SL,k
"(0009,GEMS_PETD_01"",35)",Triggers Rejected,SL,k
"(0009,GEMS_PETD_01"",36)",Tracer Name,LO,k
"(0009,GEMS_PETD_01"",37)",Batch Description,LO,k
"(0009,GEMS_PETD_01"",37)",Batch Description,UN,d
"(0009,GEMS_PETD_01"",38)",Tracer Activity,FL,k
"(0009,GEMS_PETD_01"",39)",Measured Date Time,DT,o
"(0009,GEMS_PETD_01"",39)",Measured Date Time,LO,o
"(0009,GEMS_PETD_01"",39)",Measured Date Time,SH,o
"(0009,GEMS_PETD_01"",3a)",Pre Inj Volume,FL,k
"(0009,GEMS_PETD_01"",3b)",Administered Date Time,DT,o
"(0009,GEMS_PETD_01"",3b)",Administered Date Time,LO,o
"(0009,GEMS_PETD_01"",3b)",Administered Date Time,SH,o
"(0009,GEMS_PETD_01"",3c)",Post Injected Activity,FL,k
"(0009,GEMS_PETD_01"",3d)",Post Injected Date Time,DT,o
"(0009,GEMS_PETD_01"",3d)",Post Injected Date Time,LO,o
"(0009,GEMS_PETD_01"",3d)",Post Injected Date Time,SH,o
"(0009,GEMS_PETD_01"",3e)",Radio Nuclide Name,SH,k
"(0009,GEMS_PETD_01"",3f)",Half Life,FL,k
"(0009,GEMS_PETD_01"",40)",Positron Fraction,FL,k
"(0009,GEMS_PETD_01"",41)",Source 1 Holder,SL,k
"(0009,GEMS_PETD_01"",42)",Source 1 Activity,FL,k
"(0009,GEMS_PETD_01"",43)",Source 1 Meas DT,DT,d
"(0009,GEMS_PETD_01"",44)",Source 1 Radio Nuclide,SH,k
"(0009,GEMS_PETD_01"",45)",Source 1 Half Life,FL,k
"(0009,GEMS_PETD_01"",46)",Source 2 Holder,SL,k
"(0009,GEMS_PETD_01"",47)",Source 2 Activity,FL,k
"(0009,GEMS_PETD_01"",48)",Source 2 Meas DT,DT,d
"(0009,GEMS_PETD_01"",49)",Source 2 Radio Nuclide,SH,k
"(0009,GEMS_PETD_01"",4a)",Source 2 Half Life,FL,k
"(0009,GEMS_PETD_01"",4b)",Source Speed,SL,k
"(0009,GEMS_PETD_01"",4c)",Source Location,FL,k
"(0009,GEMS_PETD_01"",4d)",Emission Present,SL,k
"(0009,GEMS_PETD_01"",4e)",Lower Axial Acc,SL,k
"(0009,GEMS_PETD_01"",4f)",Upper Axial Acc,SL,k
"(0009,GEMS_PETD_01"",50)",Lower Coinc Limit,SL,k
"(0009,GEMS_PETD_01"",51)",Upper Coinc Limit,SL,k
"(0009,GEMS_PETD_01"",52)",Coinc Delay Offset,SL,k
"(0009,GEMS_PETD_01"",53)",Coinc Output Mode,SL,k
"(0009,GEMS_PETD_01"",54)",Upper Energy Limit,SL,k
"(0009,GEMS_PETD_01"",55)",Lower Energy Limit,SL,k
"(0009,GEMS_PETD_01"",56)",Normal Cal ID,LO,h
"(0009,GEMS_PETD_01"",56)",Normal Cal ID,UI,h
"(0009,GEMS_PETD_01"",57)",Normal 2D Cal ID,LO,h
"(0009,GEMS_PETD_01"",57)",Normal 2D Cal ID,UI,h
"(0009,GEMS_PETD_01"",58)",Blank Cal ID,UI,d
"(0009,GEMS_PETD_01"",59)",WC Cal ID,LO,h
"(0009,GEMS_PETD_01"",59)",WC Cal ID,UI,h
"(0009,GEMS_PETD_01"",5a)",Derived,SL,k
"(0009,GEMS_PETD_01"",5c)",frame_id,LO,h
"(0009,GEMS_PETD_01"",5c)",frame_id,UI,h
"(0009,GEMS_PETD_01"",5d)",scan_id,LO,h
"(0009,GEMS_PETD_01"",5d)",scan_id,UI,h
"(0009,GEMS_PETD_01"",5e)",exam_id,LO,h
"(0009,GEMS_PETD_01"",5e)",exam_id,UI,h
"(0009,GEMS_PETD_01"",5f)",patient_id,LO,d
"(0009,GEMS_PETD_01"",60)",compatible_version,SH,k
"(0009,GEMS_PETD_01"",61)",software_version,SH,k
"(0009,GEMS_PETD_01"",62)",where_is_frame,ST,d
"(0009,GEMS_PETD_01"",63)",frame_size,SL,d
"(0009,GEMS_PETD_01"",64)",file_exists,SL,d
"(0009,GEMS_PETD_01"",65)",patient_entry,SL,d
"(0009,GEMS_PETD_01"",66)",table_height,FL,k
"(0009,GEMS_PETD_01"",67)",table_z_position,FL,k
"(0009,GEMS_PETD_01"",68)",landmark_datetime,DT,o
"(0009,GEMS_PETD_01"",68)",landmark_datetime,LO,o
"(0009,GEMS_PETD_01"",68)",landmark_datetime,SH,o
"(0009,GEMS_PETD_01"",69)",slice_count,SL,k
"(0009,GEMS_PETD_01"",6a)",start_location,FL,k
"(0009,GEMS_PETD_01"",6b)",acq_delay,SL,k
"(0009,GEMS_PETD_01"",6c)",acq_start,DT,o
"(0009,GEMS_PETD_01"",6c)",acq_start,LO,o
"(0009,GEMS_PETD_01"",6c)",acq_start,SH,o
"(0009,GEMS_PETD_01"",6d)",acq_duration,SL,k
"(0009,GEMS_PETD_01"",70)",actual_stop_cond,SL,k
"(0009,GEMS_PETD_01"",71)",total_prompts,FD,d
"(0009,GEMS_PETD_01"",72)",total_delays,FD,d
"(0009,GEMS_PETD_01"",73)",frame_valid,SL,k
"(0009,GEMS_PETD_01"",74)",validity_info,SL,k
"(0009,GEMS_PETD_01"",75)",archived,SL,k
"(0009,GEMS_PETD_01"",76)",compression,SL,k
"(0009,GEMS_PETD_01"",77)",uncompressed_size,SL,k
"(0009,GEMS_PETD_01"",79)",Image Set Compatible Version,SH,k
"(0009,GEMS_PETD_01"",7a)",Image Set Software Version,SH,k
"(0009,GEMS_PETD_01"",7b)",Image Set Date Time,DT,o
"(0009,GEMS_PETD_01"",7b)",Image Set Date Time,LO,o
"(0009,GEMS_PETD_01"",7c)",Image Set Source,SL,k
"(0009,GEMS_PETD_01"",7d)",Image Set Contents,SL,k
"(0009,GEMS_PETD_01"",7e)",Image Set Type,SL,k
"(0009,GEMS_PETD_01"",7f)",Image Set Reference,DS,k
"(0009,GEMS_PETD_01"",80)",Multi Patient,SL,k
"(0009,GEMS_PETD_01"",81)",Number of Normals,SL,k
"(0009,GEMS_PETD_01"",82)",Color Map ID,UI,d
"(0009,GEMS_PETD_01"",83)",Window Level Type,SL,d
"(0009,GEMS_PETD_01"",84)",Rotate,FL,k
"(0009,GEMS_PETD_01"",85)",Flip,SL,k
"(0009,GEMS_PETD_01"",86)",Zoom,FL,k
